y,Voxel Count,Gray Levels,Energy,Entropy,Maximum Intensity,Mean Intensity,Median Intensity,Range,Mean Deviation,Root Mean Square,Standard Deviation,Skewness,Kurtosis,Variance,Uniformity,Volume mm^3,Volume cc,Surface Area mm^2,Surface:Volume Ratio,Compactness 1,Compactness 2,Maximum 3D Diameter,Spherical Disproportion,Sphericity,Autocorrelation,Cluster Prominence,Cluster Shade,Cluster Tendency,Contrast,Correlation,Difference Entropy,Dissimilarity,Energy (GLCM),Entropy(GLCM),Homogeneity 1,Homogeneity 2,IMC1,IDMN,IDN,Inverse Variance,Maximum Probability,Sum Average,Sum Entropy,Sum Variance,Variance (GLCM),SRE,LRE,GLN,RLN,RP,LGLRE,HGLRE,SRLGLE,SRHGLE,LRLGLE,LRHGLE,Extruded Surface Area,Extruded Volume,Extruded Surface:Volume Ratio,Box-Counting Dimension,Correlation Dimension
0,39678,243,246559389,331369.488,232,72.97961087,74,282,23.17412284,78.8289287,29.79905842,-0.235803728,0.712354456,887.9838829,15596562,29519.81645,29.51981645,11385.82138,0.385700955,32.90756936,0.0667708,69.81484662,3.96E-06,0.405691143,567825383.8,2.40E+12,-18047117522,173995703.3,39987633.38,-22853.87348,327321.1506,943497.2308,181567.0769,-597343.853,3298.45157,1404.918193,-1.763368646,36185.07692,36185.07692,1452.889799,17.69230769,8981572.615,-273181.0757,1.38E+14,582325617.8,0.930175987,5.292048228,345.5370345,30596.71744,0.905845906,0.000308983,16019.79895,0.000285529,15025.82084,0.001767586,76244.90201,3181683.443,2168010.224,1.467559243,2.483674866,-87.71097764
0,98831,285,565740606,942408.7374,246,68.24474102,68,296,25.1621137,75.65712128,32.66464026,0.114003703,0.914380893,1066.978723,89349697,57729.74942,57.72974942,19691.87558,0.34110447,44.66493237,0.049361741,95.28917766,1.79E-06,0.366828855,1363214498,2.63E+15,-6.20E+12,14891830227,93621645.54,-41059.97323,952174.3573,2250914.154,957814.3077,-1722656.713,8823.153875,3849.876942,-1.690082977,91167.84615,91167.84615,4004.118312,35,21911949.54,-789339.4883,1.50E+15,1385528514,0.937781526,8.385175108,766.565151,75508.79552,0.88133745,0.000335922,15354.58188,0.000315462,14514.28652,0.002688591,109318.2185,NA,NA,NA,NA,NA
0,34168,213,93225523,274633.3986,172,41.55505151,41,222,25.26391399,52.23025943,31.64842983,0.055130549,-0.021636377,1001.623111,10431278,27387.79726,27.38779726,10863.79752,0.396665618,31.50124556,0.066163976,69.06963313,4.40E-06,0.404458405,281788194,1.01E+13,-63416599191,434483423.8,43677299.77,-34907.26218,270524.4219,924285.3077,115091.6923,-494942.2442,2571.167174,1058.129006,-1.801482508,31227.38462,31227.38462,1091.028171,13.76923077,5840167.462,-226318.7417,3.98E+13,299619022.9,0.92768137,8.024241035,275.4081108,26555.72441,0.915107253,0.000632068,9638.51002,0.000565449,9064.365572,0.00794169,65795.11729,2719045.357,1212184.965,2.243094442,2.436321518,-84.04137591
0,26071,242,113079248,200787.9745,239,58.28038817,58,289,23.96025881,65.8559033,30.67171137,0.109053467,0.61733258,940.7538784,6487113,18426.7652,18.4267652,7893.633585,0.428378693,26.22343165,0.078076383,74.26154154,7.05E-06,0.427405293,282722008.2,7.58E+11,4169696420,71646406.67,22454981.23,-21108.69058,201417.7519,571792.6154,84468.07692,-358351.0052,2252.616872,969.0253262,-1.800140539,23591.76923,23591.76923,1019.06583,13.76923077,5075135.077,-161117.6114,2.43E+13,291907403.1,0.918800109,9.856511593,222.4665144,19882.34929,0.914290267,0.00021444,12511.43109,0.000187562,11500.27092,0.004423668,123937.7486,1912448.375,1087240.638,1.758992728,2.366131549,-82.18969029
0,12628,264,170351627,81492.9185,246,110.5726164,111,296,28.02892632,116.1421543,35.54840554,-0.240266471,0.547608908,1263.689136,1303634,7803.863525,7.803863525,3900.036621,0.499757153,17.77006185,0.116108937,37.47932373,1.94E-05,0.487852517,241101173.2,2.97E+13,1.20E+11,508119294.1,13562083.08,53046.05461,81957.71926,301587.2308,21615.23077,-141543.2311,1006.659545,425.9970333,-1.885744185,11202.76923,11202.76923,442.4779222,7.384615385,3241331.538,-62071.77163,3.25E+12,247360848.5,0.925666853,3.274478946,95.57598157,9958.676744,0.939006116,0.00029743,21575.247,0.000289972,20276.42119,0.000623605,59544.44356,1044303.662,864248.2224,1.208337645,2.184156191,-74.13163219
0,7741,191,28881014,47377.83617,186,54.38883865,56,236,21.64772889,61.07372594,27.79872942,-0.391289046,0.668199937,772.7693574,643701,4704.397779,4.704397779,3378.536299,0.718165525,11.78808812,0.06490448,28.58954708,4.63E-05,0.401875527,74237542.15,4.33E+12,24663714551,147305675.7,6387519.769,26330.05176,42909.54685,160066.6923,11731.07692,-76071.72569,602.8490935,256.797238,-1.890905991,6451.230769,6451.230769,264.1010021,7,1369881.154,-33689.07938,7.03E+11,77188241.23,0.902717294,3.172344594,76.91061482,5740.868785,0.937614898,0.000433908,11892.2187,0.000403778,10761.34519,0.001396671,37885.15125,559430.093,261653.4874,2.138057087,2.056118664,-68.9974977
0,16172,244,137575804,110786.1407,243,85.64395251,85,281,27.1509952,92.23339959,34.23668354,0.051128925,0.148425199,1172.1505,2189900,9718.295086,9.718295086,4489.07222,0.461919728,20.14856329,0.118076307,40.9807494,1.44E-05,0.490592517,207715285,6.76E+12,38724208972,242611495.4,23542713.23,-887.235875,108468.595,462512,30345.61538,-194935.3587,1135.996584,459.8698163,-1.87694393,14531.92308,14531.92308,477.518261,8.230769231,3432630.308,-87630.12864,5.38E+12,218648675.3,0.936862585,5.189940754,124.8450341,13141.63129,0.93722293,0.000210596,15046.32033,0.00017645,14173.79972,0.003585493,69616.36073,1396747.311,833648.4768,1.67546316,2.253604835,-76.92324686
0,57021,239,221579156,503808.2274,241,54.38329738,54,291,23.79952481,62.32976817,30.46931119,-0.001700744,0.511920078,928.3789245,31209785,35237.89215,35.23789215,16199.17603,0.459708996,31.05320063,0.033036455,88.9421473,3.96E-06,0.320871502,597931093.8,1.60E+14,-6.35E+11,2619295114,51660695.62,-32970.95799,496269.8751,1265592.077,344308.1538,-898803.6846,4962.582318,2158.582351,-1.731703388,51514.61538,51514.61538,2251.63989,23.46153846,10916170.23,-410422.4494,2.39E+14,613951228.7,0.921983517,8.84508407,479.30625,42957.7743,0.900183873,0.000574263,12100.11113,0.000544096,11186.07702,0.002842729,105082.7079,3666562.976,1957798.279,1.872799162,NA,NA
0,12597,203,38429453,84875.49266,184,47.05032944,48,234,22.6998212,55.22680509,28.93007846,-0.043690802,0.328911216,836.9494396,1600657,8903.454461,8.903454461,4582.940352,0.514737327,18.20626258,0.093140131,37.90245669,1.75E-05,0.453292932,114281047.2,2.14E+12,14779708013,113953304.7,8791438.846,-3083.763618,84782.15893,245934.2308,26627.23077,-147292.0266,1144.517068,505.2859684,-1.852840837,11160.46154,11160.46154,531.4564285,9,2213795.769,-64894.09383,2.30E+12,118077355.9,0.937595973,2.612068608,115.5074464,10027.24897,0.922295296,0.000347474,10488.79777,0.000311377,9877.981237,0.000939665,26161.53362,821291.234,432797.508,1.897633925,2.175010504,-71.02978787
0,16848,219,62852764,116805.298,204,50.77647198,51,254,26.73999912,61.07372594,33.9459431,-0.147914324,0.197667769,1152.327053,2427928,10761.7006,10.7617006,7290.703004,0.677467556,16.14828346,0.033799164,59.97507897,1.91E-05,0.323322048,161037866.2,2.40E+12,16285648461,127789699.7,16503451.69,-11464.91923,110769.591,378290.4615,33036.15385,-193958.6672,1320.145294,566.7315883,-1.860401171,14380.92308,14380.92308,588.5254511,8.769230769,2972955.692,-85833.70844,3.93E+12,168397845.2,0.890393205,7.564485704,133.6161781,12229.75886,0.936595989,0.001027097,11549.34962,0.0008741,10408.27169,0.015674968,74543.63483,1195325.745,574403.2145,2.080987213,2.266550296,-75.346539
